GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica-calificada-2-jneirar,ing,Principal,4,249,0,20,2,48,1,17,1,7
practica-calificada-2-jneirar,ing,Teacher,0,9,0,0,0,4,0,2,0,2
practica-calificada-2-jneirar,ing,YearTeachers,0,45,0,2,0,13,0,5,0,4
practica-calificada-2-jneirar,ing,Student,0,56,0,4,0,12,0,6,0,4
practica-calificada-2-jneirar,ing,Pair,0,15,0,0,0,6,0,3,0,3
